n;A;alpha;R^2;suggested_partition;epsilon1;epsilon2
10;20;9;[0.712, 0.831, 0.912, 0.987, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];42.80845616709331;0
10;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[1, 2, 3, 4, 5, 6, 7, 8, 9], [0]];2.546585164964199e-11;0
10;100;1;[0.914, 0.923, 0.959, 0.992, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];96.42810105810622;0
10;100;2;[0.879, 0.903, 0.949, 0.991, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];261.94818017457783;0
10;100;3;[0.845, 0.886, 0.94, 0.99, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];436.1873868506523;0
10;100;4;[0.815, 0.873, 0.933, 0.989, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];593.8733890487943;0
10;100;5;[0.789, 0.861, 0.927, 0.989, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];729.0534948957188;0
10;100;6;[0.766, 0.852, 0.922, 0.988, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];841.8499214972735;0
10;100;7;[0.745, 0.844, 0.918, 0.988, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];934.4848957149175;0
10;100;8;[0.728, 0.837, 0.915, 0.987, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];1009.7125033506823;0
10;100;9;[0.712, 0.831, 0.912, 0.987, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];1070.2114041773325;0
11;20;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 2, 3, 4, 5], [1, 8, 9], [7, 10], [6]];1.3073986337985843e-12;0
11;20;1;[0.902, 0.915, 0.945, 0.984, 0.984, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];5.0117764232816455;0
11;20;2;[0.864, 0.891, 0.93, 0.981, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];12.702331759407144;0
11;20;3;[0.828, 0.871, 0.918, 0.978, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];20.410912847779414;0
11;20;4;[0.795, 0.853, 0.908, 0.975, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];27.942026481666787;0
11;20;5;[0.766, 0.839, 0.9, 0.973, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];34.48160214358299;0
11;20;6;[0.741, 0.827, 0.893, 0.971, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];40.01239866763444;0
11;20;7;[0.718, 0.816, 0.887, 0.97, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];44.619758492054316;0
11;20;8;[0.699, 0.807, 0.882, 0.969, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];48.41882470257086;0
11;20;9;[0.681, 0.8, 0.878, 0.967, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];51.525406116661486;0
11;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];2.9103830456733704e-11;0
11;100;1;[0.902, 0.915, 0.945, 0.984, 0.984, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];125.29441058203975;0
11;100;2;[0.864, 0.891, 0.93, 0.981, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];317.55829398517926;0
11;100;3;[0.828, 0.871, 0.918, 0.978, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];510.27282119448637;0
11;100;4;[0.795, 0.853, 0.908, 0.975, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];698.5506620416677;0
11;100;5;[0.766, 0.839, 0.9, 0.973, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];862.0400535895765;0
11;100;6;[0.741, 0.827, 0.893, 0.971, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];1000.3099666908602;0
11;100;7;[0.718, 0.816, 0.887, 0.97, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];1115.4939623013574;0
11;100;8;[0.699, 0.807, 0.882, 0.969, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];1210.47061756427;0
11;100;9;[0.681, 0.8, 0.878, 0.967, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];1288.1351529165363;0
12;20;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[4, 5, 6, 9, 10, 11], [0, 3, 7], [1, 2, 8]];7.958078640513122e-13;0
12;20;1;[0.903, 0.909, 0.934, 0.97, 0.992, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];5.894114785449432;0
12;20;2;[0.863, 0.882, 0.916, 0.964, 0.991, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];15.167165075028464;0
12;20;3;[0.825, 0.859, 0.901, 0.958, 0.991, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];23.56437199934672;0
12;20;4;[0.79, 0.84, 0.889, 0.953, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];31.347184852999135;0
12;20;5;[0.759, 0.823, 0.879, 0.949, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];38.904520849270654;0
12;20;6;[0.731, 0.809, 0.87, 0.946, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];45.379762490614766;0
12;20;7;[0.707, 0.797, 0.863, 0.943, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];50.846553234944224;0
12;20;8;[0.685, 0.787, 0.856, 0.94, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];55.41786917775269;0
12;20;9;[0.666, 0.778, 0.851, 0.938, 0.989, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];59.212296426790715;0
12;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 5, 6, 7], [3], [4], [8], [9], [10], [11]];3.2741809263825417e-11;0
12;100;1;[0.903, 0.909, 0.934, 0.97, 0.992, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];147.35286963623457;0
12;100;2;[0.863, 0.882, 0.916, 0.964, 0.991, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];379.1791268757097;0
12;100;3;[0.825, 0.859, 0.901, 0.958, 0.991, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];589.1092999836692;0
12;100;4;[0.79, 0.84, 0.889, 0.953, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];783.6796213249786;0
12;100;5;[0.759, 0.823, 0.879, 0.949, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];972.6130212317648;0
12;100;6;[0.731, 0.809, 0.87, 0.946, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];1134.494062265369;0
12;100;7;[0.707, 0.797, 0.863, 0.943, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];1271.1638308736074;0
12;100;8;[0.685, 0.787, 0.856, 0.94, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];1385.4467294438177;0
12;100;9;[0.666, 0.778, 0.851, 0.938, 0.989, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];1480.3074106697677;0
13;20;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1], [2, 6], [3, 12], [4, 11], [5, 10], [7, 8], [9]];2.6716406864579767e-12;0
13;20;1;[0.894, 0.906, 0.927, 0.965, 0.987, 0.98, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];7.083631498422051;0
13;20;2;[0.852, 0.877, 0.907, 0.956, 0.986, 0.979, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];18.135395146082203;0
13;20;3;[0.812, 0.851, 0.89, 0.947, 0.985, 0.978, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];28.437337912232266;0
13;20;4;[0.776, 0.828, 0.875, 0.941, 0.983, 0.977, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];36.83455868768257;0
13;20;5;[0.743, 0.809, 0.863, 0.935, 0.982, 0.977, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];43.80321775089679;0
13;20;6;[0.714, 0.793, 0.853, 0.93, 0.981, 0.977, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];51.25392447750693;0
13;20;7;[0.688, 0.779, 0.844, 0.926, 0.981, 0.976, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];57.60574898264659;0
13;20;8;[0.665, 0.766, 0.837, 0.922, 0.98, 0.976, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];62.972641413035674;0
13;20;9;[0.644, 0.756, 0.83, 0.919, 0.979, 0.976, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];67.47756215978048;0
13;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];6.002665031701326e-11;0
13;100;1;[0.894, 0.906, 0.927, 0.965, 0.987, 0.98, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];177.09078746055366;0
13;100;2;[0.852, 0.877, 0.907, 0.956, 0.986, 0.979, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];453.38487865205843;0
13;100;3;[0.812, 0.851, 0.89, 0.947, 0.985, 0.978, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];710.9334478058017;0
13;100;4;[0.776, 0.828, 0.875, 0.941, 0.983, 0.977, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];920.8639671920637;0
13;100;5;[0.743, 0.809, 0.863, 0.935, 0.982, 0.977, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];1095.080443772421;0
13;100;6;[0.714, 0.793, 0.853, 0.93, 0.981, 0.977, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];1281.3481119376738;0
13;100;7;[0.688, 0.779, 0.844, 0.926, 0.981, 0.976, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];1440.143724566165;0
13;100;8;[0.665, 0.766, 0.837, 0.922, 0.98, 0.976, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];1574.3160353258918;0
13;100;9;[0.644, 0.756, 0.83, 0.919, 0.979, 0.976, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]];1686.9390539945116;0
14;20;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0]];1.4779288903810084e-12;0
14;20;1;[0.896, 0.898, 0.922, 0.954, 0.982, 0.984, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];8.222949292250206;0
14;20;2;[0.853, 0.866, 0.9, 0.941, 0.979, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];21.55627978397243;0
14;20;3;[0.812, 0.837, 0.88, 0.93, 0.975, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];34.017609812597016;0
14;20;4;[0.775, 0.812, 0.864, 0.921, 0.973, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];44.31360573959458;0
14;20;5;[0.741, 0.791, 0.85, 0.913, 0.97, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];52.4137529807206;0
14;20;6;[0.71, 0.772, 0.839, 0.907, 0.968, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];58.621797347579985;0
14;20;7;[0.682, 0.756, 0.829, 0.901, 0.966, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];63.28941014540382;0
14;20;8;[0.658, 0.742, 0.82, 0.896, 0.965, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];69.06972667418108;0
14;20;9;[0.636, 0.729, 0.813, 0.892, 0.964, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];74.2414462853546;0
14;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[1, 4, 5, 6, 7, 9, 10, 12], [8, 11, 13], [0], [2], [3]];3.2741809263825417e-11;0
14;100;1;[0.896, 0.898, 0.922, 0.954, 0.982, 0.984, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];205.5737323062549;0
14;100;2;[0.853, 0.866, 0.9, 0.941, 0.979, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];538.9069945993151;0
14;100;3;[0.812, 0.837, 0.88, 0.93, 0.975, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];850.4402453149296;0
14;100;4;[0.775, 0.812, 0.864, 0.921, 0.973, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];1107.8401434898678;0
14;100;5;[0.741, 0.791, 0.85, 0.913, 0.97, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];1310.343824518016;0
14;100;6;[0.71, 0.772, 0.839, 0.907, 0.968, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];1465.544933689499;0
14;100;7;[0.682, 0.756, 0.829, 0.901, 0.966, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];1582.2352536350963;0
14;100;8;[0.658, 0.742, 0.82, 0.896, 0.965, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];1726.7431668545287;0
14;100;9;[0.636, 0.729, 0.813, 0.892, 0.964, 0.983, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]];1856.036157133863;0
